script,avg_energy_uj,avg_runtime_s,LOC,CC_total,CC_avg,CC_max,halstead_volume,maintainability_index,code_smells,avg_energy_uj_pct_change,avg_runtime_s_pct_change,LOC_pct_change,CC_total_pct_change,CC_avg_pct_change,CC_max_pct_change,halstead_volume_pct_change,maintainability_index_pct_change,code_smells_pct_change
gpt_multi_longest_increasing.py,2613396.8,0.2467647380195558,71,23,4.6,6,742.67,36.42,2,-1.75,-0.1,-4.05,-11.54,23.99,20.0,-32.12,5.72,
gpt_stagedcg_longest_increasing.py,2731816.6,0.3370548630133271,99,32,5.33,8,881.74,31.54,4,2.71,36.46,33.78,23.08,43.67,60.0,-19.41,-8.45,
gpt_stagedgc_longest_increasing.py,2557574.2,0.2382023159996606,77,23,4.6,5,572.79,36.44,0,-3.84,-3.56,4.05,-11.54,23.99,0.0,-47.64,5.78,
llama_clean_longest_increasing.py,2670232.6,0.2824200487928465,74,25,3.57,5,1120.09,34.51,0,0.39,14.34,0.0,-3.85,-3.77,0.0,2.38,0.17,
llama_green_longest_increasing.py,2473455.8,0.2360272101941518,33,11,3.67,5,55.51,53.18,0,-7.01,-4.44,-55.41,-57.69,-1.08,0.0,-94.93,54.37,
llama_multi_longest_increasing.py,2468047.6,0.2361662287847138,23,8,4.0,5,41.51,57.89,0,-7.21,-4.39,-68.92,-69.23,7.82,0.0,-96.21,68.04,
llama_stagedcg_longest_increasing.py,2514324.8,0.2345187495695427,33,10,3.33,4,72.0,52.53,0,-5.47,-5.05,-55.41,-61.54,-10.24,-20.0,-93.42,52.48,
llama_stagedgc_longest_increasing.py,,,0,7,3.5,4,0.0,0.0,0,,,-100.0,-73.08,-5.66,-20.0,-100.0,-100.0,
qwen_clean_longest_increasing.py,4783251.6,0.4718215150060132,66,21,3.5,5,699.83,37.56,2,79.83,91.02,-10.81,-19.23,-5.66,0.0,-36.03,9.03,
qwen_green_longest_increasing.py,2861943.4,0.3597951792064123,89,36,5.14,7,1335.09,30.75,0,7.6,45.66,20.27,38.46,38.54,40.0,22.03,-10.74,
qwen_multi_longest_increasing.py,4900390.4,0.471423688577488,86,31,4.43,6,1192.22,32.09,0,84.24,90.86,16.22,19.23,19.41,20.0,8.97,-6.85,
qwen_stagedcg_longest_increasing.py,4698706.4,0.4718607675982639,46,15,5.0,6,185.44,45.83,0,76.65,91.03,-37.84,-42.31,34.77,20.0,-83.05,33.03,
qwen_stagedgc_longest_increasing.py,2654827.4,0.2510866847936995,72,27,4.5,7,835.63,35.39,0,-0.19,1.65,-2.7,3.85,21.29,40.0,-23.62,2.73,
,,,,,,,,,,,,,,,,,,
maximum_flow.py,3863771.8,0.4724726339976769,114,42,7.0,12,867.55,28.91,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_clean_maximum_flow.py,3893129.8,0.4717525874031708,124,39,4.88,6,972.01,28.17,4,0.76,-0.15,8.77,-7.14,-30.29,-50.0,12.04,-2.56,-60.0
deepseek_green_maximum_flow.py,3896255.0,0.472409802605398,117,38,6.33,11,940.67,28.95,10,0.84,-0.01,2.63,-9.52,-9.57,-8.33,8.43,0.14,0.0
deepseek_multi_maximum_flow.py,3787795.2,0.4720380260027014,114,36,6.0,9,910.13,29.57,3,-1.97,-0.09,0.0,-14.29,-14.29,-25.0,4.91,2.28,-70.0
deepseek_stagedcg_maximum_flow.py,3847951.6,0.4717469500028528,129,42,5.25,7,964.88,27.41,4,-0.41,-0.15,13.16,0.0,-25.0,-41.67,11.22,-5.19,-60.0
deepseek_stagedgc_maximum_flow.py,5486900.0,0.4953801552008371,137,45,3.21,6,908.46,26.62,3,42.01,4.85,20.18,7.14,-54.14,-50.0,4.72,-7.92,-70.0
gpt_clean_maximum_flow.py,3897463.0,0.4712817866005935,142,37,4.62,9,902.01,27.38,11,0.87,-0.25,24.56,-11.9,-34.0,-25.0,3.97,-5.29,10.0
gpt_green_maximum_flow.py,3367789.2,0.47207126240246,140,46,6.57,12,1168.28,25.52,12,-12.84,-0.08,22.81,9.52,-6.14,0.0,34.66,-11.73,20.0
gpt_multi_maximum_flow.py,3313919.6,0.4710703656077385,123,38,5.43,10,1038.51,28.18,11,-14.23,-0.3,7.89,-9.52,-22.43,-16.67,19.71,-2.53,10.0
gpt_stagedcg_maximum_flow.py,3376785.8,0.472279405419249,166,47,5.88,11,1047.01,24.1,12,-12.6,-0.04,45.61,11.9,-16.0,-8.33,20.69,-16.64,20.0
gpt_stagedgc_maximum_flow.py,3380240.2,0.4726352982106618,149,48,5.33,9,1170.9,24.65,11,-12.51,0.03,30.7,14.29,-23.86,-25.0,34.97,-14.74,10.0
llama_clean_maximum_flow.py,3864589.8,0.4720661068102345,114,37,6.17,10,1022.52,29.08,4,0.02,-0.09,0.0,-11.9,-11.86,-16.67,17.86,0.59,-60.0
llama_green_maximum_flow.py,,,114,37,6.17,10,951.93,29.3,10,,,0.0,-11.9,-11.86,-16.67,9.73,1.35,0.0
llama_multi_maximum_flow.py,3809853.4,0.4722029635915533,107,0,0.0,0,1021.78,34.66,7,-1.4,-0.06,-6.14,-100.0,-100.0,-100.0,17.78,19.89,-30.0
llama_stagedcg_maximum_flow.py,3826846.0,0.4730785654159263,114,37,6.17,10,1022.52,29.08,4,-0.96,0.13,0.0,-11.9,-11.86,-16.67,17.86,0.59,-60.0
llama_stagedgc_maximum_flow.py,,,102,31,4.43,6,735.0,31.95,4,,,-10.53,-26.19,-36.71,-50.0,-15.28,10.52,-60.0
qwen_clean_maximum_flow.py,3885415.0,0.4712190478108823,113,37,6.17,10,998.1,29.24,5,0.56,-0.27,-0.88,-11.9,-11.86,-16.67,15.05,1.14,-50.0
qwen_green_maximum_flow.py,3329178.6,0.4725388954044319,119,40,6.67,10,964.88,28.45,10,-13.84,0.01,4.39,-4.76,-4.71,-16.67,11.22,-1.59,0.0
qwen_multi_maximum_flow.py,3900270.8,0.4715864130062982,115,38,6.33,10,956.0,29.07,5,0.94,-0.19,0.88,-9.52,-9.57,-16.67,10.2,0.55,-50.0
qwen_stagedcg_maximum_flow.py,3873488.4,0.471960579615552,117,39,6.5,10,1011.15,28.6,5,0.25,-0.11,2.63,-7.14,-7.14,-16.67,16.55,-1.07,-50.0
qwen_stagedgc_maximum_flow.py,3358292.2,0.4725303355953656,121,40,6.67,10,964.88,28.29,4,-13.08,0.01,6.14,-4.76,-4.71,-16.67,11.22,-2.14,-60.0
,,,,,,,,,,,,,,,,,,
